Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
FePt3_SG187_0001_4_bridge2-t-2    2.793    2.762    1.04    3.9    9.0    2    -2.201    2.165    5.142    8.959    2.125    8.938    1.147    2.28    0.493    0.119    this work
FePt3_SG187_0001_4_fcc-s    2.793    2.744    1.04    3.9    8.333    3    -2.175    2.122    5.142    8.959    2.125    8.934    1.133    2.28    0.473    0.129    this work
FePt3_SG187_0001_4_fcc-t    2.793    2.721    0.8    1.59    9.333    3    -1.0    2.334    5.142    7.902    0.153    6.544    1.394    1.83    1.115    0.235    this work
FePt3_SG187_0001_4_four-fold-s    2.793    2.726    0.92    2.745    8.5    4    -1.585    2.197    5.142    8.431    1.139    7.713    1.274    2.055    0.768    0.159    this work
FePt3_SG187_0001_4_hcp-s    2.793    2.725    1.04    3.9    7.667    3    -2.148    2.079    5.142    8.959    2.125    8.93    1.12    2.28    0.453    0.138    this work
FePt3_SG187_0001_4_hcp-t    2.793    2.733    0.8    1.59    9.667    3    -1.024    2.346    5.142    7.902    0.153    6.522    1.418    1.83    1.108    0.203    this work
FePt3_SG187_0001_4_top-s    2.793    2.707    1.04    3.9    7.0    1    -2.122    2.036    5.142    8.959    2.125    8.926    1.106    2.28    0.433    0.148    this work
FePt3_SG187_0001_4_top-t    2.793    2.709    0.8    1.59    9.0    1    -0.976    2.323    5.142    7.902    0.153    6.567    1.371    1.83    1.122    0.267    this work
Ir3Rh_SG221_211_1_bridge1-s-1    2.743    2.703    1.08    4.45    8.0    2    -1.781    2.538    5.465    9.121    1.564    7.698    1.202    2.2    1.498    0.187    this work
Ir3Rh_SG221_211_1_bridge1-s-2    2.743    2.707    1.035    3.885    8.0    2    -1.724    2.384    5.465    8.29    1.353    7.807    1.255    2.24    1.543    0.187    this work
Ir3Rh_SG221_211_1_bridge1-t-1    2.743    2.73    1.08    4.45    9.5    2    -1.896    2.746    5.465    9.121    1.564    7.659    1.254    2.2    1.402    0.113    this work
Ir3Rh_SG221_211_1_bridge1-t-2    2.743    2.734    1.035    3.885    9.5    2    -1.84    2.591    5.465    8.29    1.353    7.767    1.307    2.24    1.448    0.113    this work
Ir3Rh_SG221_211_1_bridge2-s-1    2.743    2.694    1.08    4.45    7.0    2    -1.645    2.384    5.465    9.121    1.564    7.753    1.165    2.2    1.635    0.245    this work
Ir3Rh_SG221_211_1_bridge2-s-2    2.743    2.694    1.08    4.45    7.0    2    -1.645    2.384    5.465    9.121    1.564    7.753    1.165    2.2    1.635    0.245    this work
Ir3Rh_SG221_211_1_bridge2-t    2.743    2.716    1.035    3.885    9.0    2    -1.86    2.539    5.465    8.29    1.353    7.753    1.291    2.24    1.406    0.129    this work
Ir3Rh_SG221_211_1_fcc-s    2.743    2.709    1.05    4.073    8.333    3    -1.788    2.487    5.465    8.567    1.424    7.753    1.249    2.227    1.482    0.168    this work
Ir3Rh_SG221_211_1_fcc-t-1    2.743    2.739    1.05    4.073    9.667    3    -1.852    2.66    5.465    8.567    1.424    7.736    1.294    2.227    1.446    0.108    this work
Ir3Rh_SG221_211_1_fcc-t-2    2.743    2.736    1.08    4.45    9.667    3    -1.89    2.763    5.465    9.121    1.564    7.663    1.259    2.2    1.416    0.107    this work
Ir3Rh_SG221_211_1_four-fold-s-1    2.743    2.721    1.08    4.45    8.5    4    -1.76    2.591    5.465    9.121    1.564    7.713    1.217    2.2    1.54    0.171    this work
Ir3Rh_SG221_211_1_four-fold-s-2    2.743    2.721    1.08    4.45    8.5    4    -1.76    2.591    5.465    9.121    1.564    7.713    1.217    2.2    1.54    0.171    this work
Ir3Rh_SG221_211_1_hcp-s-1    2.743    2.703    1.05    4.073    7.667    3    -1.698    2.384    5.465    8.567    1.424    7.789    1.225    2.227    1.574    0.206    this work
Ir3Rh_SG221_211_1_hcp-s-2    2.743    2.7    1.08    4.45    7.667    3    -1.735    2.487    5.465    9.121    1.564    7.716    1.19    2.2    1.544    0.206    this work
Ir3Rh_SG221_211_1_hcp-t    2.743    2.727    1.05    4.073    9.333    3    -1.866    2.625    5.465    8.567    1.424    7.726    1.284    2.227    1.419    0.118    this work
Ir3Rh_SG221_211_1_top-s    2.743    2.694    1.08    4.45    7.0    1    -1.645    2.384    5.465    9.121    1.564    7.753    1.165    2.2    1.635    0.245    this work
Ir3Rh_SG221_211_1_top-t-1    2.743    2.712    1.08    4.45    9.0    1    -1.917    2.693    5.465    9.121    1.564    7.644    1.238    2.2    1.36    0.129    this work
Ir3Rh_SG221_211_1_top-t-2    2.743    2.719    0.99    3.32    9.0    1    -1.804    2.384    5.465    7.459    1.143    7.861    1.344    2.28    1.451    0.13    this work
Ir3Rh_SG221_211_2_bridge1-s-1    2.743    2.705    1.035    3.885    8.0    2    -1.725    2.434    5.307    8.29    1.353    7.827    1.211    2.24    1.485    0.186    this work
Ir3Rh_SG221_211_2_bridge1-s-2    2.743    2.696    1.08    4.45    8.0    2    -1.799    2.548    5.307    9.121    1.564    7.718    1.175    2.2    1.627    0.199    this work
Ir3Rh_SG221_211_2_bridge1-t-1    2.743    2.724    1.08    4.45    9.5    2    -1.891    2.744    5.307    9.121    1.564    7.67    1.236    2.2    1.439    0.113    this work
Ir3Rh_SG221_211_2_bridge1-t-2    2.743    2.727    1.035    3.885    9.5    2    -1.836    2.636    5.307    8.29    1.353    7.758    1.308    2.24    1.405    0.115    this work
Ir3Rh_SG221_211_2_bridge2-s    2.743    2.696    1.035    3.885    7.0    2    -1.606    2.286    5.307    8.29    1.353    7.874    1.155    2.24    1.661    0.261    this work
Ir3Rh_SG221_211_2_bridge2-t-1    2.743    2.706    1.08    4.45    9.0    2    -1.917    2.697    5.307    9.121    1.564    7.671    1.231    2.2    1.452    0.124    this work
Ir3Rh_SG221_211_2_bridge2-t-2    2.743    2.706    1.08    4.45    9.0    2    -1.917    2.697    5.307    9.121    1.564    7.671    1.231    2.2    1.452    0.124    this work
Ir3Rh_SG221_211_2_fcc-s-1    2.743    2.699    1.08    4.45    8.333    3    -1.838    2.598    5.307    9.121    1.564    7.703    1.194    2.2    1.569    0.174    this work
Ir3Rh_SG221_211_2_fcc-s-2    2.743    2.706    1.05    4.073    8.333    3    -1.789    2.522    5.307    8.567    1.424    7.775    1.218    2.227    1.474    0.165    this work
Ir3Rh_SG221_211_2_fcc-t    2.743    2.732    1.05    4.073    9.667    3    -1.845    2.688    5.307    8.567    1.424    7.729    1.286    2.227    1.412    0.111    this work
Ir3Rh_SG221_211_2_four-fold-s    2.743    2.72    1.035    3.885    8.5    4    -1.708    2.484    5.307    8.29    1.353    7.816    1.234    2.24    1.527    0.183    this work
Ir3Rh_SG221_211_2_hcp-s    2.743    2.699    1.05    4.073    7.667    3    -1.71    2.423    5.307    8.567    1.424    7.807    1.181    2.227    1.591    0.215    this work
Ir3Rh_SG221_211_2_hcp-t-1    2.743    2.72    1.05    4.073    9.333    3    -1.863    2.656    5.307    8.567    1.424    7.729    1.282    2.227    1.421    0.118    this work
Ir3Rh_SG221_211_2_hcp-t-2    2.743    2.718    1.08    4.45    9.333    3    -1.9    2.728    5.307    9.121    1.564    7.67    1.234    2.2    1.443    0.117    this work
Ir3Rh_SG221_211_2_top-s-1    2.743    2.705    0.99    3.32    7.0    1    -1.532    2.172    5.307    7.459    1.143    7.983    1.191    2.28    1.519    0.247    this work
Ir3Rh_SG221_211_2_top-s-2    2.743    2.686    1.08    4.45    7.0    1    -1.68    2.4    5.307    9.121    1.564    7.766    1.12    2.2    1.804    0.275    this work
Ir3Rh_SG221_211_2_top-t    2.743    2.706    1.08    4.45    9.0    1    -1.917    2.697    5.307    9.121    1.564    7.671    1.231    2.2    1.452    0.124    this work
Ir3Ru_SG221_211_1_bridge1-s-1    2.743    2.7    1.08    4.45    8.0    2    -1.843    2.496    5.409    9.121    1.564    7.737    1.241    2.2    1.518    0.237    this work
Ir3Ru_SG221_211_1_bridge1-s-2    2.743    2.702    1.065    4.16    8.0    2    -1.58    2.413    5.409    8.241    1.305    7.444    1.095    2.2    1.774    0.22    this work
Ir3Ru_SG221_211_1_bridge1-t-1    2.743    2.725    1.08    4.45    9.5    2    -1.985    2.64    5.409    9.121    1.564    7.687    1.299    2.2    1.325    0.133    this work
Ir3Ru_SG221_211_1_bridge1-t-2    2.743    2.727    1.065    4.16    9.5    2    -1.722    2.556    5.409    8.241    1.305    7.393    1.154    2.2    1.581    0.115    this work
Ir3Ru_SG221_211_1_bridge2-s-1    2.743    2.691    1.08    4.45    7.0    2    -1.699    2.372    5.409    9.121    1.564    7.775    1.194    2.2    1.66    0.326    this work
Ir3Ru_SG221_211_1_bridge2-s-2    2.743    2.691    1.08    4.45    7.0    2    -1.699    2.372    5.409    9.121    1.564    7.775    1.194    2.2    1.66    0.326    this work
Ir3Ru_SG221_211_1_bridge2-t    2.743    2.71    1.065    4.16    9.0    2    -1.724    2.537    5.409    8.241    1.305    7.406    1.142    2.2    1.632    0.131    this work
Ir3Ru_SG221_211_1_fcc-s    2.743    2.704    1.07    4.257    8.333    3    -1.716    2.482    5.409    8.534    1.391    7.529    1.159    2.2    1.642    0.196    this work
Ir3Ru_SG221_211_1_fcc-t-1    2.743    2.732    1.07    4.257    9.667    3    -1.809    2.591    5.409    8.534    1.391    7.487    1.206    2.2    1.479    0.116    this work
Ir3Ru_SG221_211_1_fcc-t-2    2.743    2.731    1.08    4.45    9.667    3    -1.984    2.647    5.409    9.121    1.564    7.683    1.303    2.2    1.308    0.127    this work
Ir3Ru_SG221_211_1_four-fold-s-1    2.743    2.716    1.08    4.45    8.5    4    -1.841    2.516    5.409    9.121    1.564    7.725    1.253    2.2    1.467    0.222    this work
Ir3Ru_SG221_211_1_four-fold-s-2    2.743    2.716    1.08    4.45    8.5    4    -1.841    2.516    5.409    9.121    1.564    7.725    1.253    2.2    1.467    0.222    this work
Ir3Ru_SG221_211_1_hcp-s-1    2.743    2.698    1.07    4.257    7.667    3    -1.62    2.399    5.409    8.534    1.391    7.554    1.128    2.2    1.736    0.255    this work
Ir3Ru_SG221_211_1_hcp-s-2    2.743    2.697    1.08    4.45    7.667    3    -1.795    2.455    5.409    9.121    1.564    7.75    1.225    2.2    1.565    0.267    this work
Ir3Ru_SG221_211_1_hcp-t    2.743    2.721    1.07    4.257    9.333    3    -1.81    2.578    5.409    8.534    1.391    7.495    1.198    2.2    1.513    0.126    this work
Ir3Ru_SG221_211_1_top-s    2.743    2.691    1.08    4.45    7.0    1    -1.699    2.372    5.409    9.121    1.564    7.775    1.194    2.2    1.66    0.326    this work
Ir3Ru_SG221_211_1_top-t-1    2.743    2.709    1.08    4.45    9.0    1    -1.986    2.621    5.409    9.121    1.564    7.7    1.287    2.2    1.376    0.148    this work
Ir3Ru_SG221_211_1_top-t-2    2.743    2.712    1.05    3.87    9.0    1    -1.462    2.453    5.409    7.361    1.046    7.112    0.997    2.2    1.889    0.113    this work
Ir3Ru_SG221_211_2_bridge1-s-1    2.743    2.704    1.065    4.16    8.0    2    -1.598    2.404    5.271    8.241    1.305    7.357    1.085    2.2    1.82    0.19    this work
Ir3Ru_SG221_211_2_bridge1-s-2    2.743    2.698    1.08    4.45    8.0    2    -1.838    2.495    5.271    9.121    1.564    7.684    1.225    2.2    1.461    0.245    this work
Ir3Ru_SG221_211_2_bridge1-t-1    2.743    2.723    1.08    4.45    9.5    2    -1.994    2.62    5.271    9.121    1.564    7.641    1.289    2.2    1.269    0.137    this work
Ir3Ru_SG221_211_2_bridge1-t-2    2.743    2.727    1.065    4.16    9.5    2    -1.718    2.536    5.271    8.241    1.305    7.344    1.153    2.2    1.5    0.124    this work
Ir3Ru_SG221_211_2_bridge2-s    2.743    2.695    1.065    4.16    7.0    2    -1.449    2.29    5.271    8.241    1.305    7.407    1.033    2.2    1.989    0.284    this work
Ir3Ru_SG221_211_2_bridge2-t-1    2.743    2.707    1.08    4.45    9.0    2    -1.987    2.609    5.271    9.121    1.564    7.635    1.277    2.2    1.292    0.152    this work
Ir3Ru_SG221_211_2_bridge2-t-2    2.743    2.707    1.08    4.45    9.0    2    -1.987    2.609    5.271    9.121    1.564    7.635    1.277    2.2    1.292    0.152    this work
Ir3Ru_SG221_211_2_fcc-s-1    2.743    2.701    1.08    4.45    8.333    3    -1.888    2.533    5.271    9.121    1.564    7.668    1.243    2.2    1.405    0.214    this work
Ir3Ru_SG221_211_2_fcc-s-2    2.743    2.705    1.07    4.257    8.333    3    -1.727    2.472    5.271    8.534    1.391    7.449    1.149    2.2    1.644    0.177    this work
Ir3Ru_SG221_211_2_fcc-t    2.743    2.731    1.07    4.257    9.667    3    -1.812    2.567    5.271    8.534    1.391    7.445    1.202    2.2    1.415    0.124    this work
Ir3Ru_SG221_211_2_four-fold-s    2.743    2.719    1.065    4.16    8.5    4    -1.587    2.418    5.271    8.241    1.305    7.379    1.099    2.2    1.733    0.197    this work
Ir3Ru_SG221_211_2_hcp-s    2.743    2.699    1.07    4.257    7.667    3    -1.628    2.396    5.271    8.534    1.391    7.483    1.114    2.2    1.757    0.24    this work
Ir3Ru_SG221_211_2_hcp-t-1    2.743    2.721    1.07    4.257    9.333    3    -1.808    2.56    5.271    8.534    1.391    7.441    1.194    2.2    1.431    0.133    this work
Ir3Ru_SG221_211_2_hcp-t-2    2.743    2.718    1.08    4.45    9.333    3    -1.991    2.616    5.271    9.121    1.564    7.639    1.285    2.2    1.277    0.142    this work
Ir3Ru_SG221_211_2_top-s-1    2.743    2.701    1.05    3.87    7.0    1    -1.208    2.198    5.271    7.361    1.046    7.079    0.892    2.2    2.348    0.229    this work
Ir3Ru_SG221_211_2_top-s-2    2.743    2.688    1.08    4.45    7.0    1    -1.689    2.381    5.271    9.121    1.564    7.734    1.173    2.2    1.629    0.339    this work
Ir3Ru_SG221_211_2_top-t    2.743    2.707    1.08    4.45    9.0    1    -1.987    2.609    5.271    9.121    1.564    7.635    1.277    2.2    1.292    0.152    this work
Ir7Rh_SG225_211_1_bridge1-s-1    2.746    2.704    1.08    4.45    8.0    2    -1.81    2.571    5.475    9.121    1.564    7.676    1.229    2.2    1.449    0.184    this work
Ir7Rh_SG225_211_1_bridge1-s-2    2.746    2.702    1.08    4.45    8.0    2    -1.851    2.558    5.475    9.121    1.564    7.665    1.236    2.2    1.427    0.182    this work
Ir7Rh_SG225_211_1_bridge1-s-3    2.746    2.705    1.08    4.45    8.0    2    -1.799    2.559    5.475    9.121    1.564    7.645    1.208    2.2    1.467    0.195    this work
Ir7Rh_SG225_211_1_bridge1-s-4    2.746    2.71    1.035    3.885    8.0    2    -1.705    2.424    5.475    8.29    1.353    7.749    1.248    2.24    1.515    0.198    this work
Ir7Rh_SG225_211_1_bridge1-t-1    2.746    2.733    1.08    4.45    9.5    2    -1.95    2.715    5.475    9.121    1.564    7.587    1.288    2.2    1.351    0.109    this work
Ir7Rh_SG225_211_1_bridge1-t-2    2.746    2.73    1.08    4.45    9.5    2    -1.992    2.702    5.475    9.121    1.564    7.576    1.295    2.2    1.33    0.107    this work
Ir7Rh_SG225_211_1_bridge1-t-3    2.746    2.731    1.08    4.45    9.5    2    -1.921    2.751    5.475    9.121    1.564    7.613    1.266    2.2    1.364    0.114    this work
Ir7Rh_SG225_211_1_bridge1-t-4    2.746    2.736    1.035    3.885    9.5    2    -1.827    2.617    5.475    8.29    1.353    7.717    1.306    2.24    1.413    0.117    this work
Ir7Rh_SG225_211_1_bridge2-s-1    2.746    2.696    1.08    4.45    7.0    2    -1.662    2.419    5.475    9.121    1.564    7.742    1.181    2.2    1.598    0.247    this work
Ir7Rh_SG225_211_1_bridge2-s-2    2.746    2.696    1.08    4.45    7.0    2    -1.662    2.419    5.475    9.121    1.564    7.742    1.181    2.2    1.598    0.247    this work
Ir7Rh_SG225_211_1_bridge2-s-3    2.746    2.696    1.08    4.45    7.0    2    -1.667    2.414    5.475    9.121    1.564    7.677    1.167    2.2    1.597    0.26    this work
Ir7Rh_SG225_211_1_bridge2-s-4    2.746    2.696    1.08    4.45    7.0    2    -1.667    2.414    5.475    9.121    1.564    7.677    1.167    2.2    1.597    0.26    this work
Ir7Rh_SG225_211_1_bridge2-t-1    2.746    2.71    1.08    4.45    9.0    2    -1.999    2.71    5.475    9.121    1.564    7.599    1.284    2.2    1.278    0.119    this work
Ir7Rh_SG225_211_1_bridge2-t-2    2.746    2.719    1.035    3.885    9.0    2    -1.836    2.569    5.475    8.29    1.353    7.717    1.289    2.24    1.385    0.133    this work
Ir7Rh_SG225_211_1_fcc-s-1    2.746    2.706    1.08    4.45    8.333    3    -1.887    2.613    5.475    9.121    1.564    7.647    1.25    2.2    1.385    0.162    this work
Ir7Rh_SG225_211_1_fcc-s-2    2.746    2.711    1.05    4.073    8.333    3    -1.78    2.518    5.475    8.567    1.424    7.704    1.249    2.227    1.456    0.175    this work
Ir7Rh_SG225_211_1_fcc-t-1    2.746    2.738    1.08    4.45    9.667    3    -1.976    2.703    5.475    9.121    1.564    7.572    1.297    2.2    1.354    0.103    this work
Ir7Rh_SG225_211_1_fcc-t-2    2.746    2.739    1.08    4.45    9.667    3    -1.948    2.712    5.475    9.121    1.564    7.579    1.292    2.2    1.368    0.105    this work
Ir7Rh_SG225_211_1_fcc-t-3    2.746    2.74    1.05    4.073    9.667    3    -1.855    2.677    5.475    8.567    1.424    7.682    1.298    2.227    1.406    0.111    this work
